Filename,Number,Output,Formula,# variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high,Prefix_Formula
I.43.16,45.0,v,mul id mu_drift mul id Volt mul id q pow id d const C,4.0,mu_drift,1.0,5.0,q,1.0,5.0,Volt,1.0,5.0,d,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id mu_drift mul id Volt mul id q pow id d const C
I.43.31,46.0,D,mul id mob mul id T id kb,3.0,mob,1.0,5.0,T,1.0,5.0,kb,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id mob mul id T id kb
I.43.43,47.0,kappa,mul const C mul id kb mul id v mul pow id A const C pow add id gamma mul const C const C const C,4.0,gamma,2.0,5.0,kb,1.0,5.0,A,1.0,5.0,v,1.0,5.0,,,,,,,,,,,,,,,,,,,mul const C mul id kb mul id v mul pow id A const C pow add id gamma mul const C const C const C
I.44.4,48.0,E_n,mul id n mul id T mul id V2 mul id kb mul id ln pow id V1 const C,5.0,n,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,V1,1.0,5.0,V2,1.0,5.0,,,,,,,,,,,,,,,,mul id n mul id T mul id V2 mul id kb mul id ln pow id V1 const C
I.47.23,49.0,c,mul id sqrt mul id gamma mul id pr pow id rho const C,3.0,gamma,1.0,5.0,pr,1.0,5.0,rho,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id sqrt mul id gamma mul id pr pow id rho const C
I.48.2,50.0,E_n,mul id m mul pow id c const C mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C,3.0,m,1.0,5.0,v,1.0,2.0,c,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,mul id m mul pow id c const C mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C
I.50.26,51.0,x,mul id x1 add mul id cos mul id omega id t mul id alpha mul id cos mul pow id omega const C pow id t const C,4.0,x1,1.0,3.0,omega,1.0,3.0,t,1.0,3.0,alpha,1.0,3.0,,,,,,,,,,,,,,,,,,,mul id x1 add mul id cos mul id omega id t mul id alpha mul id cos mul pow id omega const C pow id t const C
II.2.42,52.0,Pwr,mul id kappa mul id A mul pow id d const C add id T2 mul const C id T1,5.0,kappa,1.0,5.0,T1,1.0,5.0,T2,1.0,5.0,A,1.0,5.0,d,1.0,5.0,,,,,,,,,,,,,,,,mul id kappa mul id A mul pow id d const C add id T2 mul const C id T1
II.3.24,53.0,flux,mul id Pwr pow mul const C mul pi pow id r const C const C,2.0,Pwr,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id Pwr pow mul const C mul pi pow id r const C const C
II.4.23,54.0,Volt,mul id q pow mul const C mul pi mul id epsilon id r const C,3.0,q,1.0,5.0,epsilon,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id q pow mul const C mul pi mul id epsilon id r const C
II.6.11,55.0,Volt,mul const C mul id cos mul const C mul id p_d mul id theta mul pow pi const C mul pow id epsilon const C pow id r const C,4.0,epsilon,1.0,3.0,p_d,1.0,3.0,theta,1.0,3.0,r,1.0,3.0,,,,,,,,,,,,,,,,,,,mul const C mul id cos mul const C mul id p_d mul id theta mul pow pi const C mul pow id epsilon const C pow id r const C
II.6.15a,56.0,Ef,mul id p_d mul const C mul const C mul id sqrt mul id z mul pow pi const C mul pow id epsilon const C mul pow id r const C add pow id x const C pow id y const C,6.0,epsilon,1.0,3.0,p_d,1.0,3.0,r,1.0,3.0,x,1.0,3.0,y,1.0,3.0,z,1.0,3.0,,,,,,,,,,,,,mul id p_d mul const C mul const C mul id sqrt mul id z mul pow pi const C mul pow id epsilon const C mul pow id r const C add pow id x const C pow id y const C
II.6.15b,57.0,Ef,mul id p_d mul const C mul const C mul id cos mul id sin mul pow pi const C mul pow id epsilon const C mul pow id r const C pow id theta const C,4.0,epsilon,1.0,3.0,p_d,1.0,3.0,theta,1.0,3.0,r,1.0,3.0,,,,,,,,,,,,,,,,,,,mul id p_d mul const C mul const C mul id cos mul id sin mul pow pi const C mul pow id epsilon const C mul pow id r const C pow id theta const C
II.8.7,58.0,E_n,mul const C mul const C mul const C mul pow pi const C mul pow id d const C mul pow id epsilon const C pow id q const C,3.0,q,1.0,5.0,epsilon,1.0,5.0,d,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul const C mul const C mul const C mul pow pi const C mul pow id d const C mul pow id epsilon const C pow id q const C
II.8.31,59.0,E_den,mul id epsilon mul const C pow id Ef const C,2.0,epsilon,1.0,5.0,Ef,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id epsilon mul const C pow id Ef const C
II.10.9,60.0,Ef,mul id sigma_den mul pow id epsilon const C pow add const C id chi const C,3.0,sigma_den,1.0,5.0,epsilon,1.0,5.0,chi,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id sigma_den mul pow id epsilon const C pow add const C id chi const C
II.11.3,61.0,x,mul id q mul id Ef mul pow id m const C pow add pow id omega_0 const C mul const C pow id omega const C const C,5.0,q,1.0,3.0,Ef,1.0,3.0,m,1.0,3.0,omega_0,3.0,5.0,omega,1.0,2.0,,,,,,,,,,,,,,,,mul id q mul id Ef mul pow id m const C pow add pow id omega_0 const C mul const C pow id omega const C const C
II.11.17,62.0,n,mul id n_0 add const C mul id p_d mul id Ef mul id cos mul id theta mul pow id T const C pow id kb const C,6.0,n_0,1.0,3.0,kb,1.0,3.0,T,1.0,3.0,theta,1.0,3.0,p_d,1.0,3.0,Ef,1.0,3.0,,,,,,,,,,,,,mul id n_0 add const C mul id p_d mul id Ef mul id cos mul id theta mul pow id T const C pow id kb const C
II.11.20,63.0,Pol,mul id n_rho mul id Ef mul const C mul pow id T const C mul pow id kb const C pow id p_d const C,5.0,n_rho,1.0,5.0,p_d,1.0,5.0,Ef,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,,,,,,,,,,,,,,,,mul id n_rho mul id Ef mul const C mul pow id T const C mul pow id kb const C pow id p_d const C
II.11.27,64.0,Pol,mul id n mul id Ef mul id alpha mul id epsilon pow add const C mul const C mul id n mul const C id alpha const C,4.0,n,0.0,1.0,alpha,0.0,1.0,epsilon,1.0,2.0,Ef,1.0,2.0,,,,,,,,,,,,,,,,,,,mul id n mul id Ef mul id alpha mul id epsilon pow add const C mul const C mul id n mul const C id alpha const C
II.11.28,65.0,theta,add const C mul id n mul id alpha pow add const C mul const C mul id n mul const C id alpha const C,2.0,n,0.0,1.0,alpha,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,add const C mul id n mul id alpha pow add const C mul const C mul id n mul const C id alpha const C
II.13.17,66.0,B,mul const C mul const C mul const C mul id I mul pow pi const C mul pow id c const C mul pow id epsilon const C pow id r const C,4.0,epsilon,1.0,5.0,c,1.0,5.0,I,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,mul const C mul const C mul const C mul id I mul pow pi const C mul pow id c const C mul pow id epsilon const C pow id r const C
II.13.23,67.0,rho_c,mul id rho_c_0 mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C,3.0,rho_c_0,1.0,5.0,v,1.0,2.0,c,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,mul id rho_c_0 mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C
II.13.34,68.0,j,mul id rho_c_0 mul id v mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C,3.0,rho_c_0,1.0,5.0,v,1.0,2.0,c,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,mul id rho_c_0 mul id v mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C
II.15.4,69.0,E_n,mul mul const C id mom mul id B mul id cos id theta,3.0,mom,1.0,5.0,B,1.0,5.0,theta,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul mul const C id mom mul id B mul id cos id theta
II.15.5,70.0,E_n,mul mul const C id p_d mul id Ef mul id cos id theta,3.0,p_d,1.0,5.0,Ef,1.0,5.0,theta,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul mul const C id p_d mul id Ef mul id cos id theta
II.21.32,71.0,Volt,mul id q pow mul const C mul pi mul id epsilon mul id r add const C mul const C mul id v pow id c const C const C,5.0,q,1.0,5.0,epsilon,1.0,5.0,r,1.0,5.0,v,1.0,2.0,c,3.0,10.0,,,,,,,,,,,,,,,,mul id q pow mul const C mul pi mul id epsilon mul id r add const C mul const C mul id v pow id c const C const C
II.24.17,72.0,k,mul id sqrt add mul pow id omega const C pow pow id c const C const C mul const C mul pow pi const C pow pow id d const C const C,3.0,omega,4.0,6.0,c,1.0,2.0,d,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,mul id sqrt add mul pow id omega const C pow pow id c const C const C mul const C mul pow pi const C pow pow id d const C const C
II.27.16,73.0,flux,mul id epsilon mul id c pow id Ef const C,3.0,epsilon,1.0,5.0,c,1.0,5.0,Ef,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id epsilon mul id c pow id Ef const C
II.27.18,74.0,E_den,mul id epsilon pow id Ef const C,2.0,epsilon,1.0,5.0,Ef,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id epsilon pow id Ef const C
II.34.2a,75.0,I,mul id q mul id v mul const C mul pow pi const C pow id r const C,3.0,q,1.0,5.0,v,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id q mul id v mul const C mul pow pi const C pow id r const C
II.34.2,76.0,mom,mul id q mul const C mul id r id v,3.0,q,1.0,5.0,v,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id q mul const C mul id r id v
II.34.11,77.0,omega,mul id g_ mul id B mul const C mul id q pow id m const C,4.0,g_,1.0,5.0,q,1.0,5.0,B,1.0,5.0,m,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id g_ mul id B mul const C mul id q pow id m const C
II.34.29a,78.0,mom,mul id q mul id h mul const C mul pow pi const C pow id m const C,3.0,q,1.0,5.0,h,1.0,5.0,m,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id q mul id h mul const C mul pow pi const C pow id m const C
II.34.29b,79.0,E_n,mul id g_ mul id B mul const C mul pi mul id Jz mul id mom pow id h const C,5.0,g_,1.0,5.0,h,1.0,5.0,Jz,1.0,5.0,mom,1.0,5.0,B,1.0,5.0,,,,,,,,,,,,,,,,mul id g_ mul id B mul const C mul pi mul id Jz mul id mom pow id h const C
II.35.18,80.0,n,mul id n_0 pow add mul id exp mul id B mul id mom mul pow id T const C pow id kb const C mul id exp mul const C mul id B mul id mom mul pow id T const C pow id kb const C const C,5.0,n_0,1.0,3.0,kb,1.0,3.0,T,1.0,3.0,mom,1.0,3.0,B,1.0,3.0,,,,,,,,,,,,,,,,mul id n_0 pow add mul id exp mul id B mul id mom mul pow id T const C pow id kb const C mul id exp mul const C mul id B mul id mom mul pow id T const C pow id kb const C const C
II.35.21,81.0,M,mul id n_rho mul id B mul id tanh mul pow id T const C mul pow id kb const C pow id mom const C,5.0,n_rho,1.0,5.0,mom,1.0,5.0,B,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,,,,,,,,,,,,,,,,mul id n_rho mul id B mul id tanh mul pow id T const C mul pow id kb const C pow id mom const C
II.36.38,82.0,f,add mul id mom mul id H mul pow id T const C pow id kb const C mul id mom mul id M mul id alpha mul pow id T const C mul pow id c const C mul pow id epsilon const C pow id kb const C,8.0,mom,1.0,3.0,H,1.0,3.0,kb,1.0,3.0,T,1.0,3.0,alpha,1.0,3.0,epsilon,1.0,3.0,c,1.0,3.0,M,1.0,3.0,,,,,,,add mul id mom mul id H mul pow id T const C pow id kb const C mul id mom mul id M mul id alpha mul pow id T const C mul pow id c const C mul pow id epsilon const C pow id kb const C
II.37.1,83.0,E_n,mul id mom mul id B add const C id chi,6.0,mom,1.0,5.0,B,1.0,5.0,chi,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id mom mul id B add const C id chi
II.38.3,84.0,F,mul id Y mul id A mul id x pow id d const C,4.0,Y,1.0,5.0,A,1.0,5.0,d,1.0,5.0,x,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id Y mul id A mul id x pow id d const C
II.38.14,85.0,mu_S,mul id Y pow mul const C add const C id sigma const C,2.0,Y,1.0,5.0,sigma,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id Y pow mul const C add const C id sigma const C
III.4.32,86.0,n,mul const C pow add mul id exp mul id h mul const C mul id omega mul pow pi const C mul pow id T const C pow id kb const C mul const C const C const C,4.0,h,1.0,5.0,omega,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,,,,,,,,,,,,,,,,,,,mul const C pow add mul id exp mul id h mul const C mul id omega mul pow pi const C mul pow id T const C pow id kb const C mul const C const C const C
III.4.33,87.0,E_n,mul id h mul id omega mul const C mul pow pi const C pow add mul id exp mul id h mul const C mul id omega mul pow pi const C mul pow id T const C pow id kb const C mul const C const C const C,4.0,h,1.0,5.0,omega,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id h mul id omega mul const C mul pow pi const C pow add mul id exp mul id h mul const C mul id omega mul pow pi const C mul pow id T const C pow id kb const C mul const C const C const C
III.7.38,88.0,omega,mul const C mul id B mul const C mul pi mul id mom pow id h const C,3.0,mom,1.0,5.0,B,1.0,5.0,h,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul const C mul id B mul const C mul pi mul id mom pow id h const C
III.8.54,89.0,prob,mul id sin pow mul id E_n mul id t mul const C mul pi pow id h const C const C,3.0,E_n,1.0,2.0,t,1.0,2.0,h,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,mul id sin pow mul id E_n mul id t mul const C mul pi pow id h const C const C
III.9.52,90.0,prob,mul id p_d mul id Ef mul const C mul pi mul id sin mul id t pow id h const C,6.0,p_d,1.0,3.0,Ef,1.0,3.0,t,1.0,3.0,h,1.0,3.0,omega,1.0,5.0,omega_0,1.0,5.0,,,,,,,,,,,,,mul id p_d mul id Ef mul const C mul pi mul id sin mul id t pow id h const C
